menu_name,group,synonyms,alert
アイスクリーム,1,AISUKURIMU;あいすくりーむ,
かき氷,1,KAKI;カキ氷,
チョコバナナ,2,CHIKONANA;ちょこばなな,
ビール,1,RU;びーる,
フルーツあめ,2,FURUTSUAME;ふるーつあめ;フルーツアメ,
揚げもち,2,MOCHI;揚ゲモチ,
アメリカンドッグ,2,AMERIKAN;あめりかんどっぐ,
甘酒,2,,
あんまん,2,ANMAN;アンマン,
いか焼き,2,IKAKI;イカ焼キ,
うどん,2,UN;ウドン,
枝豆,2,,
大判焼き,2,KI;大判焼キ,
お好み焼き,2,OMIKI;オ好ミ焼キ,
おしるこ,2,OSHIRUKO;オシルコ,
おでん,2,ON;オデン,
オムソバ,2,OMUSO;おむそば,
海鮮焼き,2,KI;海鮮焼キ,
からあげ,2,KARAA;カラアゲ,
ガレット,2,RETO;がれっと,
牛串,2,,
餃子,2,,
串もち,2,MOCHI;串モチ,
クレープ,2,KURE;くれーぷ,
ケバブ,2,KE;けばぶ,
コーヒー,2,KOHI;こーひー,注意喚起：ホットコーヒーに限る
コロッケ,2,KOROKE;ころっけ,
酒まんじゅう,2,MANU;酒マンジュウ,
じゃがバター,2,TA;じゃがばたー;ジャガバター,
10円パン,2,10円ぱん;N,
小籠包,2,,
スペアリブ,2,SUARI;すぺありぶ,
そば,2,SO;ソバ,
たい焼き,2,TAIKI;タイ焼キ,
タコス,2,TAKOSU;たこす,
たこ焼き,2,TAKOKI;タコ焼キ,
チーズドック,2,CHIKU;ちーずどっく,
チヂミ,2,CHIMI;ちぢみ,
チュロス,2,CHIROSU;ちゅろす,
でんがく,2,NKU;デンガク,
天ぷら,2,RA;天プラ,
ドーナツ,2,NATSU;どーなつ,
トッポギ,2,TO;とっぽぎ,
トルネードポテト,2,TORUNETETO;とるねーどぽてと,
豚汁,2,,
肉まん,2,MAN;肉マン,
ハットグ,2,HATO;はっとぐ,
春巻き,2,KI;春巻キ,
ハンバーガー,2,HAN;はんばーがー,
ピザ,2,ぴざ,
もつ煮込み,2,MOTSUMI;モツ煮込ミ,
フォー,2,FU;ふぉー,
フライドポテト,2,FURAITETO;ふらいどぽてと,
フランクフルト,2,FURANKUFURUTO;ふらんくふると,
ベビーカステラ,2,KASUTERA;べびーかすてら,
ホットドック,2,HOTOKU;ほっとどっく,
ホットサンド,2,HOTOSAN;ほっとさんど,
ポップコーン,2,KON;ぽっぷこーん,
焼きいも,2,KIIMO;焼キイモ,
焼き魚,2,KI;焼キ魚,
焼きそば,2,KISO;焼キソバ,
焼き肉,2,KI;焼キ肉,
焼きとうもろこし,2,KITOUMOROKOSHI;焼キトウモロコシ,
焼き鳥,2,KI;焼キ鳥,
ラーメン,2,RAMEN;らーめん,
サラダ,3,SARA;さらだ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
寿司,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
冷やし中華,3,YASHI;冷ヤシ中華,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
おにぎり,3,ONIRI;オニギリ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
カレーライス,3,KARERAISU;かれーらいす,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
きゅうりの一本漬け,3,KIURINOKE;キュウリノ一本漬ケ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
串だんご,3,N;串ダンゴ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
アイスコーヒー,3,AISUKOHI;あいすこーひー,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
肉巻きおにぎり,3,KIONIRI;肉巻キオニギリ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
焼きおにぎり,3,KIONIRI;焼キオニギリ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
米,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
ごはん,3,HAN;ゴハン,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
飯,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
おにぎり,3,ONIRI;オニギリ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
丼,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
寿司,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
漬,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
サラダ,3,SARA;さらだ,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
冷たいめん,3,TAIMEN;冷タイメン,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
冷麺,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
そうめん,3,SOUMEN;ソウメン,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
冷やし中華,3,YASHI;冷ヤシ中華,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。
タピオカ,1,,注意喚起：処理済みで包装されたものを使ってください。
わたあめ,2,,
スムージー,1,すむーじー,注意喚起：洗浄の多量の水をつかう場合は不可
ジュース,1,,注意喚起：自家製はダメよ
パフェ,1,ぱふぇ,注意喚起：トッピングの注意点等
こんにゃく,2,コンニャク,
ライス,3,,注意喚起：原則として臨時営業での調理不可。包装済み製品を販売してください。

